,Title,Artist,Lyrics
Under The Knife,Under The Knife,Icon For Hire,"This is the song I’m too scared to write
But some of you may need it tonight

Oh there you were, heart made of glass
Fragile little thing, shattered too fast
Tried to pick the pieces up up up
And that’s the way you first got cut cut cut
Devil drew you in, you didn’t let it show
Didn’t want the others to ever have to know
That you were getting hooked on up up up
And all you had to do was cut cut cut

You carved a special place for your pain
So it came back to hurt you every night
You closed your eyes and wished it all away
Until you disappeared under the knife

You knew the deal, no one gives a damn
Just another needy kid, sob story in hand
Keep your secrets covered up up up
We don’t need another cut cut cut
But you couldn’t hide a heart made of glass
You put yourself together with all the strength you had
You were finally fed up up up
Finally had to scream enough

You carved a special place for your pain
So it came back to hurt you every night
You closed your eyes and wished it all away
Until you disappeared under the knife

Listen- I know it’s simplified from the other side
It’s easy to gloss over all the messy reasons why
And it’s easy to forget where you’ve been
I guess that’s what the scars are for, huh?
When we were 15 we wouldn’t dare let that shit be seen
But now it seems mutalation’s gone mainstream
I see you at my shows, scarred up from head to toe
Like there’s no point even trying not to let it show
Cause we all know, emo kids like to hurt themselves
Too many feelings and not enough self control
And I mean, does this mess any of the rest of you
It’s an epidemic and we’re cool with it, don’t question it
But it bothers me, our scars are currency by which we’re measured
Like let the record show who let it slip and who held it together
Cutters and burners and honorable mentions
Posers who still cut themselves up for the attention

I don’t care your intentions, I just want you to know
My self-hatred never took me where I wanted to go
And at the end of the day, you know I still had to face
That I can pick at the pain, but can’t cut it away
And you know what else I can’t do is give you ten good reasons not to
I’ve racked my brain for clever sayings of all the things you ought to do
But you know, I think if there was something I could say
They’d have thrown it on a brochure- and sent you on your way
So I’ll keep doing what I always do: drag my heart to the piano and make it sing for you
I’ll keep doing what I always do: drag my heart to the piano and let it sing for you

Drag my heart to the piano and let it sing for you"
Make A Move,Make A Move,Icon For Hire,"Somebody make a move
Somebody make a move
Please somebody

Test my reality
Check if there's a weak spot
Clingin' to insanity
In hopes the world will ease up
Try to make it look like it's all somehow getting better
'Cause I know how to play it pretty good against the measure
Everyone started out a little insane
But we learn pretty quick how to fake it for the game
But some of you never learned to drop the act
So under that skin of yours: a heart attack

'Cause everybody's so scared
We don't wanna go there
We don't wanna make a move
We got all our lives to lose
Screaming in the dark while we just play our part out
I play along
Like I don't know what's going on
Somebody make a move
Somebody make a move
Please somebody make a move
We all know
We all know what's going on

And if I had the answers I'd have written them out
So I can tell you what to do and what this thing is about
But all I've ever learned comes second-hand
And I dare not preach what I don't understand

You and I; we share the same disease
Cover up; compromise what we grieve
I've let more than my share of revivals die
This isn't pretty but it's what I am tonight

'Cause everybody's so scared
We don't wanna go there
We don't wanna make a move
We got all our lives to lose
Screaming in the dark while we just play our part out
I play along
Like I don't know what's going on
Somebody make a move
Somebody make a move
Please somebody make a move
We all know
We all know what's going on

Pointing my fingers the problems still linger
They keep getting bigger and I hold the trigger
Running with fire, I live like a liar
Please somebody make a move
Somebody make a move (I'm pointing my fingers)
Somebody make a move (The problems still linger)
Somebody make a move (I'm pointing my fingers)
Somebody
Somebody make a move

'Cause everybody's so scared
We don't wanna go there
We don't wanna make a move
Screaming in the dark while we just play our part out
I play along
'Cause everybody's so scared
We don't wanna go there
We don't wanna make a move
We got all our lives to lose
Screaming in the dark while we just play our part out
I play along
Like I don't know what's going on
Somebody make a move
Somebody make a move
Please somebody make a move
We all know
We all know what's going on"
Off With Her Head,Off With Her Head,Icon For Hire,"I'm lucky if I ever see the light of day again
My skin is choking me, my feeble walls are closing in
This cell is filled with scholars easing me, they're teasing me
They told me ""so, I didn't know the fall would be this easy""

How long until it starts to do me in?
I can't give out what I'm not breathing in
I know, they'll come with what I'm owed, guilty as charged
My enemies belittle me reminding me the penalty of all my deeds, despite my pleas, is death

Don't let go, cause
I don't wanna be this, I don't wanna be this
Death is mine, I know
Don't let go, don't let go
Save your own, cause, I don't wanna be this, I don't wanna be this
Death is mine, I know
Don't let go, don't let go, savior

Your way to life has only shown me what a fool I am
It serves the purpose of confirming I remain condemned
And I will ever linger on the edge
Unless you hear me

How long until it starts to do me in?
I can't give out what I'm not breathing in
I know, they'll come with what I'm owed, guilty as charged
My enemies belittle me reminding me the penalty of all my deeds, despite my pleas, is death


Don't let go, cause
I don't wanna be this, I don't wanna be this
Death is mine, I know
Don't let go, don't let go
Save your own, cause, I don't wanna be this, I don't wanna be this
Death is mine, I know
Don't let go, don't let go, save your own"
Hope of Morning,Hope of Morning,Icon For Hire,"My mind's a kaleidoscope, it thinks too fast
Blurs all the colors 'til I can't see past
The last mistake, the choice I made
Staring in the mirror with myself to blame
Sometimes I'm afraid of the thoughts inside
Nowhere to hide inside my mind
I'm scared that you'll compare and I'll look a lifetime past repair
I second guess myself to death, I re-solicit every step
What if my words are meaningless? What if my heart's misleading this?
I try to capture every moment as it comes to me
Bottle up the memories and let them keep me company

When the hope of morning starts to fade in me
I don't dare let darkness have its way with me
And the hope of morning makes me worth the fight
I will not be giving in tonight

When I'm old and grey, or thirty, or whatever happens first
I'll need you to reassure me I didn't waste a verse
Or worse, what if my life's work is reduced to just myself
Like never let you get a word in, while I dissect my mental health
Or lack thereof, whatever, there's too many things to track
I really can't remember if I'm insane or insomniac
Now days, all the kids want crazy, wanna diagnose themselves
Trade up made up epidemics, pass around prescription pills
But my disorder can't be cured by a bottle, blade, or dose
Self-disgust and selfishness tend to hold me awfully close
But I don't wanna let you see that, I don't want my friends to know
Self-disgust and selfishness take me everywhere I go

When the hope of morning starts to fade in me
I don't dare let darkness have its way with me
And the hope of morning makes me worth the fight
I will not be giving in tonight

Try as I might to keep it together
Why is recovery taking forever?
Fool the whole world, just until I get better
I'm terrified I'll be faking forever
(Faking forever)
On and on I wonder what went wrong inside my head
I don't have to have the answers, but tonight I wish I did
All the pain I can't explain away won't fade
All the the secrets silenced by the shame
Don't make me say it
Don't make me say it
Don't make me say it
Don't make me say it
Don't make me say it
Don't make me say it
Don't make me say it

When the hope of morning starts to fade in me
I don't dare let darkness have its way with me
And the hope of morning makes me worth the fight
I will not be giving in tonight"
Now You Know,Now You Know,Icon For Hire,"Seem like everywhere I go, everybody wanna know
""What's it like to be a girl, in the music world?""

The scene is so sexist, believe me I get it, we'd probably sell more records if I flaunted my ass and chest but forget it
I work like one of the boys, and I'm as true as they get
But I'm a lady through and through, like give me some credit
I knew I'd regret it if I tried to blend in and pretend
Be something other than I am
Like have you noticed I'm a woman
Didn't come to downplay it, or to play it up either
And I'm not trying pick a fight or be nobody's leader
But it feels like everybody's just a little too interested
In the fact that females can indeed make music
Our interviews, our bios, - they all make it a point
""Female Fronted Band, from Decatur, Illinois""
And just once, I'd like to see some other band's resumé go out of their way to say they're fronted by a male, ok?
And while we're on it, let me say
Women don't all sound the same
Who gave us the idea that ""Female Fronted” is a genre anyway?

Seem like everywhere I go, everybody wanna know
""What's it like to be a girl, in the music world?""
Wanna make it disappear, tell 'em what they wanna hear
If truth ain't pretty will you all stay with me
Will you love me, love me ugly?

And I know it's not fair, and I can't complain
Cuz with a girl in our band, people don’t look away
But you know what, it feels like they look just a little too long
Stare me up and down, forget to listen to the song
I take the stage and before I even open my mouth, the audience assumes that they got us all figured out
""Oh your band's got a chick, must be some kinda trick
There's no way she got this far without sucking somebody's...""
Did you really think that's how it works, I'm not fucking eye candy
I'm here to do my job, I'll be the last man standing
Boys in crowd asking, for me to flash them, well here you go, news flash:
You're ignorant and that's that
I bet you'd never say that to your little sister
The media's got you all jacked up, little mister
Cuz girls in my position can perpetuate the cycle
Walking a tightrope, don't know which way to go
Hypersexualize, or downplay your femininity
Dress like the dudes, or pray to God that you're pretty
Are you kidding me? And I don't even know who's to blame
Beauty sells, I buy it too, I'm trying to sell it back it you

Seem like everywhere I go, everybody wanna know
What's it like to be a girl, in the music world
Wanna make it disappear, tell 'em what they wanna hear
If truth ain't pretty will you all stay with me
Will you love me, love me ugly?

So tell me, what's a woman to do--no, scratch that
Tell me what's a human being to do with the fact that
What gets us ahead holds us back more
Isn't a level playing field too much to ask for?
And I know that by saying it, I'm bringing attention
To an issue that might be better left unmentioned -
But someone's gotta say it, gotta call out the scene
The scene is obscene, my sanity's split at the seams
So to all of ya'll making this just about ass and tits
Here to set the record straight, it don't gotta be this way
We can change the game, rearrange the way to fame
And make a bigger deal about the talent than the face
See I got little girls watching me, wanting to be like me
And I wanna show them that they don't gotta be like me
They can do their own thing, they can rewrite the rules
They can get respect without acting like fools
So let's not make it harder than it has to be
I'll keep making music, you stop asking me
""What's it like to be a girl in the entertainment world?""
Cuz now you know

Seem like everywhere I go, everybody wanna know
""What's it like to be a girl, in the music world?""
Wanna make it disappear, tell 'em what they wanna hear
If truth ain't pretty will you all stay with me
Will you love me, love me ugly?
Seem like everywhere I go, everybody wanna know
""What's it like to be a girl, in the music world?""
Wanna make it disappear, tell 'em what they wanna hear
If truth ain't pretty will you all stay with me
Will you love me, love me ugly?"
The Grey,The Grey,Icon For Hire,"I am standing on the edge of returning or just running away
I am letting myself look the other way
And the hardest part in all of this is
I don't think I know my way back home
Is it worth the journey, or do I let my heart settle here?

How cold have I become?
I  didn't want to
Lose you by what I'd done
Caught in the grey

I don't want to look you in the eyes, you might call me away
I don't want to give you the chance to make me stay
And the hardest part in all of this is
I know my way back, I don't want to go
And let you see, all that has become of me
I should've known, I should've known
I didn't have a chance

How cold have I become?
I didn't want to
Lose you by what I'd done
Caught in the grey
It burns for a moment but
But then it numbs you
Takes you and leaves you just
Caught in the grey
In your deepest pain
In your weakest hour
In your darkest night
You are lovely
(you tell me)
In your deepest pain
In your weakest hour
In your darkest night
You are lovely 
I am standing on the edge of returning or just running away"
Get Well,Get Well,Icon For Hire,"We throw tantrums like parties
We're not happy 'till everyone knows we're sick
And that's just how we like it
We've hurt bad enough, right, we've earned it

Don't tell the others, but it's all getting old
I mean, how any more times must our stories be told?
And being lonely's only fun in a group
It sort of loses it's charm when it's true

I meant it when I said I wanna get well, I wanna get well
Are the rest of you so content?
Stay where you are but it hurts like help
And I'm sure it was fun at first
Test your pulse and check your vitals
If it's only a game, you lost me
I quit it with the suicidal recital

So now you know all my secrets
I want out, I know I don't need this!
I want friends who don't rank me on what I've been through
The more a battle scars, the more attention it gets you



Yea, we should've known it would end this way
What did you expect, pretend it all away?
And all we've got left is a sorry pile of hearts
I'm getting out, gonna write myself a new start
Come on, dry your eyes, meet me on the other side
Run as fast as you can and we'll make it out alive
We know better now, we don't have to live like this
Go and tell them all we don't have to live like this
I meant it when I said I wanna get well

If it's only a game, you lost me
I quit it with the suicidal recital"
Happy Hurts,Happy Hurts,Icon For Hire,"Happy hurts sometimes, Oh
Blame it on the monsters in my mind
I've been getting better at slowly getting worse, oh
What's wrong with me when happy hurts? Happy hurts

This on again off again temperamental affection
For my darling depression is making me go mad
I hear there's a fine line between crazy and sad
But i can't tell a difference up close
There's a lot of us you know, ill and un-diagnosed
But i don't need a piece of paper to tell me what i already know
I'm not alright for tonight can we let that be alright?
Pick up the battle again in the morning light

And I'm fighting so hard to come out of the dark
Trying to turn off the night finally let in the light
Trying to make my misery just a piece of my history
A little less victim a little more victory

Happy hurts sometimes, Oh
Blame it on the monsters in my mind. Oh
I've been getting better at slowly getting worse, oh
What's wrong with me when happy hurts? Happy hurts

So today i feel okay guess it was all just in my head
I just need to try harder i guess...
Yeah everyone else in the world seems to be doing alright
""Yeah i'm alright"" for tonight  can we let the pain and the happy mix?
Can the two coexist? The beauty next to the mess
Because i swear i have them both already beating in my chest
If that makes me crazy the numbers don't lie
But i don't call that crazy i call that being alive

And I'm fighting so hard to come out of the dark
Trying to turn off the night finally let in the light
Trying to make my misery just a piece of my history
A little less victim a little more victory please

Happy hurts sometimes, Oh
Blame it on the monsters in my mind. Oh
I've been getting better at slowly getting worse, oh
What's wrong with me when happy hurts? Happy hurts
[Bridge[
If i had to pick between the way that i am and the way that everybody else seems to pretend
I wouldn't consider it not for even a second between psycho and sanity it's not even a question
My favorite part of my self seems to make the least sense, 
all the cracks in my skin they just let the light in
My favorite part of my self seems to make the least sense
All the cracks in my skin let the light in

Happy hurts sometimes, Oh
All i want's the one thing i can't find
I've been getting better at slowly getting worse, oh
What's wrong with me when happy hurts?
What's wrong with me when happy hurts?
I've been getting better at slowly getting worse, oh
What's wrong with me when happy hurts?
Happy hurts"
Iodine,Iodine,Icon For Hire,"I say I wanna be healthy, but I turn up the noise
The IV drips a steady stream of poison
I think I'm just in love with the feeling
Break my bones so I can feel them healing

""Crazy"" is, I believe, the medical term
When we wanna recover, but we don't wanna learn
Keep breaking what's been fixed a thousand times
And gimme some more of that iodine

I can't make reality connect
I push till I have nothing left
But if we want to wake up
Why we still singin' these lullabies?
I'll run in circles till I crash
One day these steps will be my last
But if we want to wake up
Why we still singin' these lullabies?

I say I wanna be happy, but I quickly forget
Will I sabotage all the good I've got left?
Depression's like a big fur coat
It's made of dead things but it keeps me warm

""Crazy"" is, I believe, the medical term
When we wanna recover, but we don't wanna learn
Keep breaking what's been fixed a thousand times
And gimme some more of that iodine

I can't make reality connect
I push till I have nothing left
But if we want to wake up
Why we still singin' these lullabies?
I'll run in circles till I crash
One day these steps will be my last
But if we want to wake up
Why we still singin' these lullabies?

I don't like pain, but I bring it to life
I don't like scars but I am good with a knife
I don't like tears when I'm starting to cry
And then I realize I'm destroying my life
I do this to myself
I do this to myself
Stop blaming someone else
We do this to ourselves

I can't make reality connect
I push till I have nothing left
But if we want to wake up
Why we still singin' these lullabies?
I'll run in circles till I crash
One day these steps will be my last
But if we want to wake up
Why we still singin' these lullabies?

So if we want to wake up
Why we still singin' these, why we still singin' these lullabies?"
Sorry About Your Parents,Sorry About Your Parents,Icon For Hire,"I'm sorry about your parents, they sound like bad people
Your daddy sounds like a jerk
I guess your mama didn't know the gift she got when she got you
I'm sorry about your life, you had it pretty rough
Bending over backwards, never good enough
You poor thing, it must suck to be you

And I know it's not your fault, it never is, is it?

I (I) know what it's like staying up all night nursing wounds
It takes (takes) more than I have, pick fights with the past, I always lose
Oh, don't you know? That's no way to live
I (I) know what it's like staying up all night nursing wounds

I get it, give me a little credit
I remember when I was that pathetic
Wear my scars on my sleeve, for all the world to see
Like look what they did to me quick, lay on the sympathy thick
You probably have the right to feel how you do
You were mistreated and cheated out of the childhood you needed
And now you'll never succeed if you're so convinced you're defeated
If you're obsessed with your yesterday then you're destined to repeat it

And I know it's not your fault, it never is, is it, is it, is it?

I (I) know what it's like staying up all night nursing wounds
It takes (takes) more than I have, pick fights with the past, I always lose
Oh, don't you know? That's no way to live
I (I) know what it's like staying up all night nursing wounds
I (I) know what it's like staying up all night nursing wounds"
