,Title,Artist,Lyrics
Monster,Monster,Skillet,"The secret side of me I never let you see
I keep it caged but I can't control it
So stay away from me, the beast is ugly
I feel the rage and I just can't hold it
It's scratching on the walls, in the closet, in the halls
It comes awake and I can't control it
Hiding under the bed, in my body, in my head
Why won't somebody come and save me from this? Make it end

I feel it deep within, it's just beneath the skin
I must confess that I feel like a monster
I hate what I've become, the nightmare's just begun
I must confess that I feel like a monster
I, I feel like a monster
I, I feel like a monster

My secret side I keep hid under lock and key
I keep it caged but I can't control it
'Cause if I let him out, he'll tear me up, break me down
Why won't somebody come and save me from this? Make it end!

I feel it deep within, it's just beneath the skin
I must confess that I feel like a monster
I hate what I've become, the nightmare's just begun
I must confess that I feel like a monster
I feel it deep within, it's just beneath the skin
I must confess that I feel like a monster
I, I feel like a monster
I, I feel like a monster

It's hiding in the dark, its teeth are razor sharp
There's no escape for me, it wants my soul, it wants my heart
No one can hear me scream, 
maybe it's just a dream
Or maybe it's inside of me, stop this monster

I feel it deep within, it's just beneath the skin
I must confess that I 
feel like a monster
I hate what I've become, the nightmare's just begun
I must confess that I feel like a monster
I feel it deep within, it's just beneath the skin
I must confess that I feel like a monster
I’m gonna lose control, it’s something radical
I must confess that I feel like a monster
I, I feel like a monster
I, I feel like a monster
I, I feel like a monster
I, I feel like a monster"
Feel Invincible,Feel Invincible,Skillet,"Target on my back
Lone survivor lasts
They got me in their sights
No surrender no
Trigger fingers go
Living the dangerous life

Hey, hey, hey
Everyday when I wake
I'm trying to get up, they're knocking me down
Chewing me up, spitting me out
Hey, hey, hey
When I need to be saved
You're making me strong, you're making me stand
Never will fall, never will end
Shot like a rocket up into the sky
Nothing can stop me tonight

You make me feel invincible
Earthquake, powerful
Just like a tidal wave
You make me brave
You're my titanium
Fight song, raising up
Like a roar of victory in a stadium
Who can touch me cause I'm
I'm made of fire
Who can stop me tonight
I'm hard wired
You make me feel invincible

I feel, I feel it
Invincible
I feel, I feel it
Invincible

Here we go again
I will not give in
I've got a reason to fight
Every day we choose
We might win or lose
This is the dangerous life

Hey, hey, hey
Everyday when I wake
They say that I'm gone; they say that they've won
The bell has been rung, it's over and done
Hey, hey, hey
When I need to be saved
They counting me out, but this is my round
You in my corner, look at me now
Shot like a rocket up into the sky
Nothing can stop me tonight

You make me feel invincible
Earthquake, powerful
Just like a tidal wave
You make me brave
You're my titanium
Fight song, raising up
Like a roar of victory in a stadium
Who can touch me cause I'm
I'm made of fire
Who can stop me tonight
I'm hard wired
You make me feel invincible

I feel, I feel it
Invincible
I feel, I feel it
Invincible

You make me feel invincible
You make me feel invincible
Shot like a rocket up into the sky
Not gonna stop
Invincible

Feel invincible
Earthquake, powerful
Just like a tidal wave
You make me brave
You're my titanium
Fight song, raising up
Like a roar of victory in a stadium

So feel invincible
Earthquake, powerful
Just like a tidal wave
You make me brave
You're my titanium
Fight song, raising up
Like a roar of victory in a stadium
Who can touch me cause I'm
I'm made of fire
Who can stop me tonight
I'm hard wired
You make me feel invincible

I feel, I feel it
Invincible
I feel, I feel it
Invincible"
The Resistance,The Resistance,Skillet,"(I) am a nation, (I) am a million faces
Formed together, made for elevation
(I) am a soldier, (I) won't surrender
Faith is like a fire that never burns to embers
(Who's gonna stand up, who's gonna fight?)
The voice of the unheard
(Who's gonna break these chains and lies?)
Love is the answer
I gotta speak it, believe it, that's how I feel inside
I, I, can't, can't sit here quiet

You can take my heart, you can take my breath
When you pry it from my cold, dead chest

This is how we rise up
Heavy as a hurricane, louder than a freight train
This is how we rise up
Heart is beating faster, feels like thunder
Magic, static, call me a fanatic
It's our world, they can never have it
This is how we rise up
It's our resistance, you can't resist us

(Hey) Can you hear me? (Hey) Are you listening?
Sleeping in the shadows, could be making history
(Walk) through the fire, (Walk) on the water
Used to be a slave, but now you are a conqueror

They can take my heart, they can take my breath
When they pry it from my cold, dead chest

This is how we rise up
Heavy as a hurricane, louder than a freight train
This is how we rise up
Heart is beating faster, feels like thunder
Magic, static, call me a fanatic
It's our world, they can never have it
This is how we rise up
It's our resistance, you can't resist us

Rising up, up, up, up, up
We're rising up, up, up, up, up
The voice of the unheard
Rising up, up, up, up, up
We're rising up, up, up, up, up
Love is the answer
Rising up, up, up, up, up
We're rising up, up, up, up, up
Love is the answer
This is how we rise up
It's our resistance, you can't resist us

This is how we rise up
Heavy as a hurricane, louder than a freight train
This is how we rise up
Heart is beating faster, feels like thunder
Magic, static, call me a fanatic
It's our world, they can never have it
This is how we rise up
It's our resistance, you can't resist us"
Hero,Hero,Skillet,"[Verse 1: John Cooper & 
Jen Ledger
]
I'm just a step away, I'm just a breath away
Losin' my faith today, 
we're fallin' off the edge today
I am just a man, not superhuman
I'm not superhuman
, someone save me from the hate
It's just another war, just another family torn
We're falling from my faith today
Just a step from the edge
Just another day in the world we live
[Chorus: John Cooper & 
Jen Ledger
]
I need a hero
 to save me now!
I need a hero! 
Save me now!
I need a hero
 to save my life!
A hero will save me 
just in time!
[Verse 2: John Cooper & 
Jen Ledger
]
I've gotta fight today to live another day
Speakin' my mind today, 
my voice will be heard today
I've gotta make a stand, but I am just a man
I'm not superhuman
, my voice will be heard today
It's just another war, just another family torn
My voice will be heard today
It's just another kill
The countdown begins to destroy ourselves
[Chorus: John Cooper & 
Jen Ledger
]
I need a hero
 to save me now!
I need a hero! 
Save me now!
I need a hero
 to save my life!
A hero will save me 
just in time!

I need a hero to save my life!
I need a hero just in time!
Save me just in time!
Save me just in time!
[Bridge: John Cooper & 
Jen Ledger
]
Who's gonna fight for what's right?
Who's gonna help us survive?
We're in the fight of our lives
And we're not ready to die
Who's gonna fight for the weak?
Who's gonna make 'em believe?
I've got a hero 
(I've got a hero)
 livin' in me!
I've gotta fight for what's right
Today, I'm speakin' my mind
And if it kills me tonight
I will be ready to die
A hero's not afraid to give his life
A hero's gonna save me just in time
[Chorus: John Cooper & 
Jen Ledger
]
I need a hero to save me now!
I need a hero! 
Save me now!
I need a hero
 to save my life!
A hero will save me 
just in time!
[Outro: John Cooper & 
Jen Ledger
]
I need a hero!
Who's gonna fight for what's right?
Who's gonna help us survive?
I need a hero!
Who's gonna fight for the weak?
Who's gonna make 'em believe?
I've got a hero, 
I need a hero!
A hero's gonna save me just in time"
Back From the Dead,Back From the Dead,Skillet,"B-ba-b-b-b-ba-ba-back
B-ba-b-b-b-ba-ba-back
B-ba-b-b-b-ba-ba-back
B-ba-b-b-b-ba-ba-back

Cold and black inside this coffin
Cause you all try to keep me down
How it feels to be forgotten
But you'll never forget me now

Enemies clawing at my eyes, I
Scratch and bleed, just to stay alive, yeah
The zombies come out at night
They'll never catch me
They'll never catch me
B-ba-b-b-b-ba-ba-back
B-ba-b-b-b-ba-ba-back

Light it up, light it up, now I'm burning
Feel the rush, feel the rush of adrenaline
We are young, we are strong, we will rise
Cause I'm back, back, back from the dead tonight
To the floor, to the floor, hit the red line
Flying high, flying high at the speed of light
Full of love, full of light, full of fight
Cause I'm back, back, back from the dead tonight

B-ba-b-b-b-ba-ba-back
B-ba-b-b-b-ba-ba-back

Break the skin, you spread like poison
Dying slow when we all attack
How it feels to be the broken
You took a piece, now I'm biting back

Enemies clawing at my eyes, I
Scratch and bleed, just to stay alive, yeah
The zombies come out at night
They'll never catch me
They'll never catch me
B-ba-b-b-b-ba-ba-back
B-ba-b-b-b-ba-ba-back

Light it up, light it up, now I'm burning
Feel the rush, feel the rush of adrenaline
We are young, we are strong, we will rise
Cause I'm back, back, back from the dead tonight
To the floor, to the floor, hit the red line
Flying high, flying high at the speed of light
Full of love, full of light, full of fight
Cause I'm back, back, back from the dead tonight
Back, back, back from the dead tonight

Deep down, for the count
Don't you dare count me out
Never break, never bow
Never beg, not a doubt

The zombies come out at night
They'll never catch me
They'll never catch me
B-ba-b-b-b-ba-ba-back
B-ba-b-b-b-ba-ba-back
B-ba-b-b-b-ba-ba-back
B-ba-b-b-b-ba-ba-back

Light it up, light it up, now I'm burning
Feel the rush, feel the rush of adrenaline
We are young, we are strong, we will rise
Cause I'm back, back, back from the dead tonight
To the floor, to the floor, hit the red line
Flying high, flying high at the speed of light
Full of love, full of light, full of fight
Cause I'm back, back, back from the dead tonight
Back, back, back from the dead tonight

(B-ba-b-b-b-ba-ba-back)
Dead tonight
(B-ba-b-b-b-ba-ba-back)
Back from the dead tonight
(B-ba-b-b-b-ba-ba-back)
Dead tonight
(B-ba-b-b-b-ba-ba-back)
Back from the dead tonight"
Comatose,Comatose,Skillet,"I hate feeling like this
I'm so tired of trying to fight this
I'm asleep and all I dream of
Is waking to you
Tell me that you will listen
Your touch is what I'm missing
And the more I hide I realize I'm slowly losing you

Comatose
I'll never wake up without an overdose of you

I don't want to live
I don't want to breathe
'Less I feel you next to me
You take the pain I feel
(Waking up to you never felt so real)
I don't want to sleep
I don't want to dream
Cause my dreams don't comfort me
The way you make me feel
(Waking up to you never felt so real)

I hate living without you
Dead wrong to ever doubt you
But my demons lay in waiting
Tempting me away
Oh, how I adore you
Oh, how I thirst for you
Oh, how I need you

Comatose
I'll never wake up without an overdose of you

I don't want to live
I don't want to breathe
'Less I feel you next to me
You take the pain I feel
(Waking up to you never felt so real)
I don't want to sleep
I don't want to dream
Cause my dreams don't comfort me
The way you make me feel
(Waking up to you never felt so real)

Breathing life
Waking up
My eyes open up

Comatose
I'll never wake up without an overdose of you

I don't want to live
I don't want to breathe
'Less I feel you next to me
You take the pain I feel
(Waking up to you never felt so real)
I don't want to sleep
I don't want to dream
Cause my dreams don't comfort me
The way you make me feel
(Waking up to you never felt so real)
Oh, how I adore you
Waking up to you never felt so real
Oh, how I thirst for you
Waking up to you never felt so real
Oh, how I adore you, ohhhh
The way you make me feel
Waking up to you never felt so real"
Stars,Stars,Skillet,"You spoke a word and life began
Told oceans where to start and where to end
You set in motion time and space
But still you come and you call to me by name
But still you come and you call to me by name

If you can hold the stars in place
You can hold my heart the same
Whenever I fall away
Whenever I start to break
So here I am, lifting up my heart
To the one who holds the stars

The deepest depths, the darkest nights
Can't separate, can't keep me from your sight
I get so lost, forget my way
But still you love and you don't forget my name

If you can hold the stars in place
You can hold my heart the same
Whenever I fall away
Whenever I start to break
So here I am, lifting up my heart
If you can calm the raging sea
You can calm the storm in me
You're never too far away
You never show up too late
So here I am, lifting up my heart
To the one who holds the stars

Your love has called my name
What do I have to fear?
What do I have to fear?
Your love has called my name
What do I have to fear?
What do I have to fear?

If you can hold the stars in place
You can hold my heart the same
Whenever I fall away
Whenever I start to break
So here I am, lifting up my heart
(Lifting up my heart)
If you can calm the raging sea
You can calm the storm in me
You're never too far away
You never show up too late
So here I am, lifting up my heart
To the one who holds the stars

You're the one who holds the stars"
Awake and Alive,Awake and Alive,Skillet,"I'm at war with the world and they
Try to pull me into the dark
I struggle to find my faith
As I'm slipping from your arms
It's getting harder to stay awake
And my strength is fading fast
You breathe into me at last

I'm awake I'm alive
Now I know what I believe inside
Now it's my time
I'll do what I want 'cause this is my life
Here (
right here
), right now (
right now
)
I'll stand my ground and never back down
I know what I believe inside
I'm awake and I'm alive

I'm at war with the world 'cause I
Ain't never going to sell my soul
I've already made up my mind
No matter what I can't be bought or sold
When my faith is getting weak
And I feel like giving in
You breathe into me again

I'm awake I'm alive
Now I know what I believe inside
Now it's my time
I'll do what I want 'cause this is my life
Here (
right here
), right now (
right now
)
I'll stand my ground and never back down
I know what I believe inside
I'm awake and I'm alive

Waking up, waking up
Waking up, waking up
Waking up, waking up
Waking up, waking up

In the dark
I can feel you in my sleep
In your arms I feel you breathe into me
Forever hold this heart that I will give to you
Forever I will live for you

I'm awake I'm alive
Now I know what I believe inside
Now it's my time
I'll do what I want 'cause this is my life
Here (
right here
), right now (
right now
)
I'll stand my ground and never back down
I know what I believe inside
I'm awake and I'm alive

Waking up, waking up
Waking up, waking up
Waking up, waking up
Waking up, waking up"
Legendary,Legendary,Skillet,"(Legendary)
Oh!
(Legendary)
Oh!
Oh, oh, oh
Oh!
Oh, oh, oh

My heart bleeds adrenaline
The fire I breathe is where I live
Say my name, incredible
Say my name, an animal
One life to live
I never give up, I never give in

Some people wanna turn and run
But the strong rise under the gun

Top, to the top
Ain't never gonna stop
To the top, to the top
Ain't never gonna stop

Never gonna keep me down (Never keep me)
Still the one that's standin' now (I'm never falling)
Destiny is callin' me, go down in history
Every day, I'll fight to be legendary

Oh!
Oh, oh, oh
Oh!
Oh, oh
Legendary

Fly high or will I fall?
Legends made when faith is strong
Say my name, no time to plead
Say my name, I'm conquering
While I'm alive, I'll push through the pain, I'll run for the prize

Some people wanna turn and run
But the strong rise under the gun

Top, to the top
Ain't never gonna stop
To the top, to the top
Ain't never gonna stop

Never gonna keep me down (Never keep me)
Still the one that's standin' now (I'm never falling)
Destiny is callin' me, go down in history
Every day, I'll fight to be legendary
Oh, oh, oh
Every day, I'll fight to be legendary

Oh!
Oh, oh, oh
Oh!
Oh, oh
Legendary


Wings are made to fly, made to fly
Fears are born to die, born to die
Pushin' through the pain, through the pain
Pushin' through, breakin' through
Whatever it takes, what I gotta do
Givin' my all, givin' all that I've got
Never will stop 'til I get to the top

Top, to the top
Ain't never gonna stop
To the top, to the top
Ain't never gonna stop

Never gonna keep me down (Never keep me)
Still the one that's standin' now (I'm never falling)
Destiny is callin' me, go down in history
Every day, I'll fight to be legendary
Never gonna keep me down (Never keep me)
Oh, oh, oh
Still the one that's standin' now (I'm never falling)
Oh, oh, oh
Destiny is callin' me, go down in history
Oh, oh, oh
Every day I'll fight to be legendary
Oh, oh
Legendary

Oh!
Oh, oh, oh
Oh!
Oh, oh
Legendary
Oh, oh, oh
Oh, oh
Legendary"
I Want to Live,I Want to Live,Skillet,"In a grave of roses, while the night is closing in
My soul is so cold, but I want to live again
I know you'll come to me, I wait in misery
I want to fight for this, save me from this darkness

I reach for the light

I want to live my life
The choice is mine, I've made up my mind
Now, I'm free to start again
The way I want to live (to live) and breathe (and breathe)
The way I want that's right for me
I may not know nothing else
But I know this, I want to live

All I ever needed was a reason to believe
You help me hold on, you ignite the fire in me
You always come for me, you know just what I need
Don't make me wait for this, save me from this darkness

I reach for the light

I want to live my life
The choice is mine, I've made up my mind
Now, I'm free to start again
The way I want to live (to live) and breathe (and breathe)
The way I want that's right for me
I may not know nothing else
But I know this, I want to live

I'm breathing, still breathing
But I can't fight this fear alone
This feeling is killing slow
But now I know

I want to live my life
The choice is mine, I've made up my mind
Now, I'm free to start again
The way I want to live (to live) and breathe (and breathe)
The way I want that's right for me
I may not know nothing else
But I know this, I want to live
I want to live
I know this, I want to live"
